no,seq,time_epoch,retransmission,out_of_order
20146,17733569,1716238938.796655000,,
20148,17734890,1716238938.799016000,,
20149,17736211,1716238938.799016000,,
20150,17740174,1716238938.799110000,,
20152,17741495,1716238938.799214000,,
20153,17742816,1716238938.799329000,,
20155,17744137,1716238938.799529000,,
20156,17745458,1716238938.801904000,,
20158,17746779,1716238938.803395000,,
20160,17750742,1716238938.803608000,,
20161,17752063,1716238938.803678000,,
20163,17753384,1716238938.803728000,,
20164,17754705,1716238938.803830000,,
20166,17756026,1716238938.803977000,,
20167,17757347,1716238938.804163000,,
20169,17758668,1716238938.804916000,,
20170,17759989,1716238938.805036000,,
20172,17761310,1716238938.805139000,,
20173,17762631,1716238938.805551000,,
20175,17763952,1716238938.805891000,,
20176,17765273,1716238938.821253000,,
20177,17766594,1716238938.821253000,,
20179,17767915,1716238938.821359000,,
20181,17769236,1716238938.821492000,,
20182,17770557,1716238938.821595000,,
20184,17771878,1716238938.821662000,,
20185,17773199,1716238938.821755000,,
20187,17774520,1716238938.821827000,,
20188,17775841,1716238938.821911000,,
20190,17777162,1716238938.822016000,,
20191,17778483,1716238938.822160000,,
20193,17779804,1716238938.822318000,,
20194,17782446,1716238938.822402000,,
20196,17789051,1716238938.822513000,,
20198,17796977,1716238938.822644000,,
20200,17798298,1716238938.830590000,,
20202,17800940,1716238938.832295000,,
20204,17803582,1716238938.832445000,,
20206,17804903,1716238938.832519000,,
20208,17806224,1716238938.832614000,,
20210,17807545,1716238938.832748000,,
20212,17808866,1716238938.832835000,,
20214,17810187,1716238938.833030000,,
20216,17811508,1716238938.833768000,,
20218,17812829,1716238938.833926000,,
20220,17814150,1716238938.834048000,,
20222,17815471,1716238938.834155000,,
20224,17816792,1716238938.834237000,,
20226,17818113,1716238938.834361000,,
20228,17781125,1716238938.840040000,1,
20230,17819434,1716238938.844698000,,
20232,17823397,1716238938.844899000,,
20234,17826039,1716238938.844989000,,
20236,17783767,1716238938.849643000,1,
20237,17827360,1716238938.849643000,,
20240,17828681,1716238938.854705000,,
20242,17831323,1716238938.855579000,,
20244,17785088,1716238938.859209000,1,
20245,17832644,1716238938.859210000,,
20248,17833965,1716238938.859478000,,
20250,17835286,1716238938.863946000,,
20252,17836607,1716238938.864981000,,
20254,17786409,1716238938.868847000,1,
20256,17837928,1716238938.870695000,,
20258,17840570,1716238938.870819000,,
20260,17841891,1716238938.875914000,,
20261,17843212,1716238938.875914000,,
20264,17787730,1716238938.878524000,1,
20265,17844533,1716238938.878524000,,
20268,17845854,1716238938.880741000,,
20270,17848496,1716238938.885761000,,
20272,17790372,1716238938.887924000,1,
20274,17851138,1716238938.888039000,,
20276,17852459,1716238938.888621000,,
20278,17853780,1716238938.890792000,,
20280,17855101,1716238938.895451000,,
20282,17791693,1716238938.897184000,1,
20283,17856422,1716238938.897184000,,
20286,17857743,1716238938.898327000,,
20288,17859064,1716238938.898469000,,
20290,17860385,1716238938.900985000,,
20292,17861706,1716238938.905444000,,
20294,17793014,1716238938.908252000,1,
20295,17863027,1716238938.908252000,,
20298,17864348,1716238938.908370000,,
20300,17865669,1716238938.911789000,,
20302,17866990,1716238938.911808000,,
20304,17868311,1716238938.911987000,,
20306,17869632,1716238938.917540000,,
20308,17794335,1716238938.921446000,1,
20309,17870953,1716238938.921446000,,
20312,17873595,1716238938.921669000,,
20314,17874916,1716238938.924382000,,
20316,17877558,1716238938.924431000,,
20318,17878879,1716238938.927282000,,
20320,17795656,1716238938.932942000,1,
20321,17880200,1716238938.932942000,,
20324,17881521,1716238938.933086000,,
20325,17882842,1716238938.933182000,,
20327,17884163,1716238938.934717000,,
20329,17886805,1716238938.936826000,,
20330,17888126,1716238938.944407000,,
20331,17893410,1716238938.944496000,,
20333,17894731,1716238938.944637000,,
20335,17896052,1716238938.944719000,,
20336,17897373,1716238938.944873000,,
20338,17898694,1716238938.945017000,,
20339,17900015,1716238938.945125000,,
20341,17901336,1716238938.945226000,,
20342,17902657,1716238938.954966000,,
20344,17903978,1716238938.955024000,,
20345,17905299,1716238938.955146000,,
20347,17906620,1716238938.956876000,,
20349,17909262,1716238938.957018000,,
20350,17910583,1716238938.957064000,,
